2026-08-18 12:22:09.7|Info|DiskScanService|Scanning disk for The Hunger Games: Catching Fire
2026-08-18 12:22:09.7|Info|DiskScanService|Completed scanning disk for The Hunger Games: Catching Fire
2026-08-18 12:22:09.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:09.7|Info|DiskScanService|Scanning disk for The Hunger Games: Mockingjay - Part 1
2026-08-18 12:22:09.7|Info|DiskScanService|Completed scanning disk for The Hunger Games: Mockingjay - Part 1
2026-08-18 12:22:09.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:09.7|Info|RefreshMovieService|Updating info for The Hunger Games: The Ballad of Songbirds & Snakes
2026-08-18 12:22:10.5|Info|DiskScanService|Scanning disk for The Hunger Games: The Ballad of Songbirds & Snakes
2026-08-18 12:22:10.5|Info|DiskScanService|Completed scanning disk for The Hunger Games: The Ballad of Songbirds & Snakes
2026-08-18 12:22:10.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:10.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:10.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:10.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:10.5|Info|DiskScanService|Scanning disk for The Hunger Games: Mockingjay - Part 2
2026-08-18 12:22:10.5|Info|DiskScanService|Completed scanning disk for The Hunger Games: Mockingjay - Part 2
2026-08-18 12:22:10.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:10.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:10.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:10.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:10.5|Info|DiskScanService|Scanning disk for The Hunger Games: Sunrise on the Reaping
2026-08-18 12:22:10.5|Info|DiskScanService|Completed scanning disk for The Hunger Games: Sunrise on the Reaping
2026-08-18 12:22:10.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:10.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:10.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:10.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:10.5|Info|MetadataService|Movie folder does not exist, skipping metadata creation
2026-08-18 12:22:10.5|Info|RefreshMovieService|Updating info for Project Hail Mary
2026-08-18 12:22:11.3|Info|DiskScanService|Scanning disk for Project Hail Mary
2026-08-18 12:22:11.3|Info|DiskScanService|Completed scanning disk for Project Hail Mary
2026-08-18 12:22:11.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:11.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:11.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:11.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:11.3|Info|DiskScanService|Scanning disk for The Martian
2026-08-18 12:22:11.3|Info|DiskScanService|Completed scanning disk for The Martian
2026-08-18 12:22:11.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:11.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:11.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:11.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:11.3|Info|DiskScanService|Scanning disk for Mortal Kombat
2026-08-18 12:22:11.3|Info|DiskScanService|Completed scanning disk for Mortal Kombat
2026-08-18 12:22:11.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:11.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:11.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:11.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:11.3|Info|DiskScanService|Scanning disk for Mortal Kombat II
2026-08-18 12:22:11.3|Info|DiskScanService|Completed scanning disk for Mortal Kombat II
2026-08-18 12:22:11.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:11.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:11.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:11.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:11.3|Info|DiskScanService|Scanning disk for Only the Brave
2026-08-18 12:22:11.3|Info|DiskScanService|Completed scanning disk for Only the Brave
2026-08-18 12:22:11.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:11.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:11.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:11.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:11.3|Info|RefreshMovieService|Updating info for Toy Story 5
2026-08-18 12:22:12.1|Info|DiskScanService|Scanning disk for Toy Story 5
2026-08-18 12:22:12.1|Info|DiskScanService|Completed scanning disk for Toy Story 5
2026-08-18 12:22:12.1|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:12.1|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:12.1|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:12.1|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:12.1|Info|RefreshMovieService|Updating info for Girls Like Girls
2026-08-18 12:22:12.8|Info|DiskScanService|Scanning disk for Girls Like Girls
2026-08-18 12:22:12.8|Info|DiskScanService|Completed scanning disk for Girls Like Girls
2026-08-18 12:22:12.8|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:12.8|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:12.8|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:12.8|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:12.8|Info|DiskScanService|Scanning disk for The Lucky One
2026-08-18 12:22:12.8|Info|DiskScanService|Completed scanning disk for The Lucky One
2026-08-18 12:22:12.8|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:12.8|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
